English	Pin Yin	Chinese	Audio	SpoodFed order
Do you like my friend?	Nǐ xǐhuan wǒ péngyou ma?	你喜欢我朋友吗？	[sound:G002-05.mp3]	52
My friend did not come.	Wǒde péngyou méi lái.	我的朋友没来。	[sound:R030-05.mp3]	53
What would your friend like to do?	Nǐ péngyǒu xiǎng zuò shénme?	你朋友想做什么？	[sound:G015-06.mp3]	54
We're friends.	Wǒmen shì péngyou.	我们是朋友。	[sound:tmpigzqqh.mp3]	55
They are all my friends.	Tāmen dōu shì wǒ de péngyou.	他们都是我的朋友。	[sound:tmpikqle9.mp3]	56
This is my home.	Zhè shì wǒ jiā.	这是我家。	[sound:tmpqlawmg.mp3]	57
Why?	Wèishénme?	为什么？	[sound:tmpmwmxhf.mp3]	58
Why did they go?	Tāmen wèishénme qù?	他们为什么去？	[sound:R035-01.mp3]	59
Why did she go?	Tā wèishénme qù?	她为什么去？	[sound:G035-01.mp3]	60
Why don't you come visit us?	wèishénme nǐ bù lái kàn wǒmen? (also ni first)<div>(no mei... mei is like you said you'd come but didn't)</div><div>(kan is long timeframe no visit, jian ok for short timeframe no visit)</div>	为什么你不来看我们？	[sound:335057.mp3]	61
This is my book.	zhè shì wǒ de shū .	这是我的书。	[sound:334383.mp3]	62
He likes this book.	Tā xǐhuan zhè běn shū.	他喜欢这本书。	[sound:G002-04.mp3]	63
I don't like this book.	Wǒ bù xǐhuan zhèběn shū.	我不喜欢这本书。	[sound:R002-04.mp3]	64
I gave you a book.	wǒ gěi le nǐ yī běn shū .	我给了你一本书。	[sound:335126.mp3]	65
That book is mine.	Nà běn shū shì wǒ de.	那本书是我的。	[sound:tmpfovlnr.mp3]	66
Let me think about it.	Ràng wǒ xiǎng yī xiǎng.	让我想一想。	[sound:tmpuivcaf.mp3]	67
Please let me through	Qǐng ràng yī ràng!	请让一让！	[sound:tmpv3nli9.mp3]	68
Why did you do that?	Nǐ wèishénme nàme zuò?	你为什么那么做？	[sound:R035-06.mp3]	69
Do you like school?	Nǐ xǐhuan xuéxiào ma?	你喜欢学校吗？	[sound:G002-06.mp3]	70
I am at school.	Wǒ zài xuéxiào.	我在学校。	[sound:R005-01.mp3]	71
The students don't like school.	Xuéshēng bù xǐhuan xuéxiào.	学生不喜欢学校。	[sound:G002-07.mp3]	72
I'm going to school.	Wǒ yào qù xuéxiào.	我要去学校。	[sound:G004-03.mp3]	73
Where is the school?	Xuéxiào zài nǎli?	学校在哪里？	[sound:R006-03.mp3]	74
I'm a teacher.	Wǒ shì lǎoshī.	我是老师。	[sound:tmpazje4y.mp3]	75
She is our teacher.	Tā shì wǒmen de lǎoshī.	她是我们的老师。	[sound:tmpmhgphr.mp3]	76
They are all good teachers.	tāmen dōu shì hǎo lǎoshī .	他们都是好老师。	[sound:333284.mp3]	77
Are you going to go see the teacher?	Nǐ yào qù kàn lǎoshī ma?	你要去看老师吗？	[sound:R023-01.mp3]	78
He is going to see the teacher.	Tā yào qù kàn lǎoshī.	他要去看老师。	[sound:G023-01.mp3]	79
I am a teacher.	Wǒ shì lǎoshī.	我是老师。	[sound:G001-01.mp3]	80
The teacher is going to school.	Lǎoshī yào qù xuéxiào.	老师要去学校。	[sound:R004-02.mp3]	81
Where is the teacher going?	Lǎoshī qù nǎli?	老师去哪里？	[sound:R006-06.mp3]	82
Listen to the teacher.	Tīng lǎoshī shuō.	听老师说。	[sound:G038-01.mp3]	83
He's an American.	Tā shì Měiguó rén.	他是美国人。	[sound:tmpubbhns.mp3]	84
I am an American.	Wǒ shì Měiguórén.	我是美国人。	[sound:G001-04.mp3]	85
He is American. <br /> He is an American.	tā shì Měiguórén .	他是美国人。	[sound:332941.mp3]	86
He really likes the United States.	Tā hěn xǐhuan Měiguó.	他很喜欢美国。	[sound:R002-02.mp3]	87
Is the United States big?	Měiguó dà ma?	美国大吗？	[sound:R007-06.mp3]	88
I'm from America.	Wǒ cóng Měiguó lái.	我从美国来。	[sound:tmpl9feqn.mp3]	89
This is America.	Zhèli shì Měiguó.	这里是美国。	[sound:tmpk06yqu.mp3]	90
Where does she live?	Tā zhùzài​ nǎli?	她住在哪里？	[sound:G006-07.mp3]	91
Where does your friend live?	Nǐ de péngyou zhù nǎli?	你的朋友住哪里？	[sound:R006-05.mp3]	92
We're classmates.	wǒmen shì tóngxué .	我们是同学。	[sound:333784.mp3]	93
He doesn't like his classmates.	Tā bù xǐhuan tā de tóngxuémen.	他不喜欢他的同学们。	[sound:R002-05.mp3]	94
Are they all the same?	tāmen dōu shì yīyàng de ma?	他们都是一样的吗？	[sound:334427.mp3]	95
She loved her children alike.	tā de háizi tā dōu yīyàng ài .	她的孩子她都一样爱。	[sound:334723.mp3]	96
Where is this place?	Zhèli shì nǎli a?	这里是哪里啊？	[sound:tmpqwynz1.mp3]	97
Please come with me.	Qǐng gēn wǒ lái.	请跟我来。	[sound:tmp901ayr.mp3]	98
Do whatever he tells you.	tā gēn nǐ shuō shénme, nǐ jiù zuò shénme .	他跟你说什么，你就做什么。	[sound:334146.mp3]	99
Give the book to whomever wants it.	zhè běn shū shéi xiǎng yào jiù gěi shéi ba .	这本书谁想要就给谁吧。	[sound:333436.mp3]	100
As soon as she comes, we will begin.	tā yī dào, wǒmen jiù kāishǐ .	她一到，我们就开始。	[sound:332808.mp3]	101
Let's go.	zǒu ba .	走吧。	[sound:334277.mp3]	102
Go when you want, ok?	nǐ xiǎng zǒu de shíhou jiù zǒu ba.	你想走的时候就走吧。	[sound:332528.mp3]	103
When you go, we'll all miss you! (for sure)	nǐ zǒu le, wǒmen dōu huì xiǎng nǐ de.	你走了，我们都会想你的。	[sound:332548.mp3]	104
I work with him.	Wǒ gēn tā yīqǐ gōngzuò.	我跟他一起工作。	[sound:G021-01.mp3]	105
I also want to.<br />Then go with us!	Wǒ yě xiǎng.<br />Nà gēn wǒmen yī qǐ qù ba!	A我也想。<br/>B那跟我们一起去吧！	[sound:R022-DLG.mp3]	106
Sit down, Kate.	Kate, zuò ba .	Kate,坐吧。	[sound:332793.mp3]	107
Who is it? "It's your mother."	shì shéi? shì nǐ māma.	“是谁？”“是你妈妈。”	[sound:334489.mp3]	108
It's ten o'clock now.	Xiànzài shì shí diǎn.	现在是10点。	[sound:tmpq4ifcx.mp3]	109
Are you a little better now?	nǐ xiànzài hǎo diǎn le ma?	你现在好点了吗？	[sound:332915.mp3]	110
What time is it now?	Xiànzài shì jǐ diǎn? (also Xiànzài jǐ diǎn le?)	现在是几点？	[sound:tmpio2tzn.mp3]	111
What time is it now?	Xiànzài jǐ diǎn le?	现在几点了？	[sound:R036-01.mp3]	112
(Right now) It's three.	Xiànzài sān diǎn.	现在三点。	[sound:R036-02.mp3]	113
He has three kids.	Tā yǒu sānge háizi.	他有三个孩子。	[sound:tmpne90c0.mp3]	114
It is already eleven.	yǐjīng shì 11 diǎn le. (also no shi)	已经是11点了。	[sound:334137.mp3]	115
They have two children.	Tāmen yǒu liǎng gè háizi.	他们有两个孩子。	[sound:tmpriywz8.mp3]	116
It's already five o'clock.	Yǐjīng wǔ diǎn le. (also shi)	已经五点了。	[sound:tmpdag6hd.mp3]	117
(Right now) It's five.	Xiànzài shì wǔ diǎn.	现在是五点。	[sound:G036-02.mp3]	118
Good evening.	wǎnshang hǎo .	晚上好。	[sound:333158.mp3]	119
Who is she speaking with?	Tā zài gēn shéi shuōhuà?	她在跟谁说话？	[sound:R034-03.mp3]	120
Who is he speaking with?	Tā zài gēn shéi shuōhuà?	他在跟谁说话？	[sound:G034-03.mp3]	121
Beijing is a big place.	Běijīng shì gè dà de dìfang.	北京是个大的地方。	[sound:R026-01.mp3]	122
Where is he from?	Tā shì shénme dìfang rén?	他是什么地方人？	[sound:G026-02.mp3]	123
Are you Chinese?	Nǐ shì Zhōngguórén ma?	你是中国人吗？	[sound:R001-03.mp3]	124
The teacher is Chinese.	Lǎoshī shì Zhōngguórén.	老师是中国人。	[sound:R001-05.mp3]	125
Are you Chinese? (polite)	Nín shì Zhōngguórén ma?	您是中国人吗？	[sound:G001-06.mp3]	126
Are you studying? (polite)	nín xuéxí ma ?	您学习吗？	[sound:332662.mp3]	127
She is with her family.	Tā gēn jiārén zài yīqǐ.	她跟家人在一起。	[sound:G021-07.mp3]	128
What have you seen?	Nǐ kànjian shénme le?	你看见什么了？	[sound:tmpqbuooz.mp3]	129
I am at home.	Wǒ zài jiā.	我在家。	[sound:G005-02.mp3]	130
Is she at home?	Tā zài jiā ma? (also jiali)	她在家吗？	[sound:R005-02.mp3]	131
I am going to see a movie.	Wǒ yào qù kàn diànyǐng.	我要去看电影。	[sound:R023-02.mp3]	132
I want to go see a movie.	Wǒ xiǎng qù kàn diànyǐng.	我想去看电影。	[sound:R023-04.mp3]	133
Is it a good movie?	Diànyǐng hǎo kàn ma?	电影好看吗？	[sound:tmphrxnap.mp3]	134
I must go.	Wǒ bìxū zǒu le.	我必须走了。	[sound:tmptfzfkz.mp3]	135
We must go to school!	wǒmen bìxū qù xuéxiào le.	我们必须去学校了。	[sound:334285.mp3]	136
Are you ready?	Zhǔnbèi hǎo le ma?	准备好了吗？	[sound:tmp9so48t.mp3]	137
Are you ready?	Zhǔnbèi hǎo le ma?	准备好了吗？	[sound:tmpicvml1.mp3]	138
I'm headed to school. (as in, where ya headed?)	Wǒ wǎng xuéxiào qù. (also xiang4)	我往学校去。	[sound:tmpikq0ct.mp3]	139
Each of you say one sentence.	Yī rén shuō yī jù.	一人说一句。	[sound:tmpvjppvn.mp3]	140
I'd like to say a few words to you.	Wǒ xiǎng duì nǐ shuō jǐ jù huà. (also gen3, gei3) (also jiang3)	我想对你说几句话。	[sound:tmpdiaqlk.mp3]	141
My classmate doesn't have any money.	Wǒ de tóngxué méi yǒu qián.	我的同学没有钱。	[sound:R011-04.mp3]	142
There is a lot of money here.	Zhè yǒu hěn duō qián.	这有很多钱。	[sound:tmpnus__e.mp3]	143
She has a lot to do.	tā yǒu hěn duō shì yào zuò. (also gai zuo de)	她有很多事要做。	[sound:332760.mp3]	144
In the end, she did not come.	zuìhòu tā méiyǒu lái .	最后她没有来。	[sound:332901.mp3]	145
What about at home?<br />I don't have one at home.	Jiālǐ yǒu ma?<br />Méi yǒu.	A家里有吗?<br/>B没有。	[sound:R011-DLG.mp3]	146
Is there anything I should do?	yǒu shénme shì shì wǒ gāi zuò de ma ?	有什么事是我该做的吗？	[sound:334319.mp3]	147
He told me when I should say yes.	tā gàosu wǒ shénme shíhou gāi shuō shì .	他告诉我什么时候该说是。	[sound:333538.mp3]	148
Can you tell me what this is?	nǐ néng gàosu wǒ zhè shì shénme ma ?	你能告诉我这是什么吗？	[sound:333977.mp3]	149
When can you tell me?	Shénme shíhou kěyǐ gàosu wǒ? (ni ss neng gaosu wo)	什么时候可以告诉我？	[sound:tmpnaekb8.mp3]	150
I think your work is all right.	wǒ juéde nǐ de gōngzuò kěyǐ .	我觉得你的工作可以。	[sound:333016.mp3]	151
I'll tell you something.	Wǒ gàosu nǐ yī jiàn shì.	我告诉你一件事。	[sound:tmpxfxicg.mp3]	152
I think what you say is true.	wǒ juéde nǐ shuō de shì zhēn de .	我觉得你说的是真的。	[sound:332442.mp3]	153
Of course it's okay.	Dāngrán kěyǐ.	当然可以！	[sound:tmp0crhpz.mp3]	154
I spent a lot of money today.	Wǒ jīntiān huāle hěn duō qián.	我今天花了很多钱。	[sound:tmpuo0aen.mp3]	155
I'm back.	Wǒ huílai le.	我回来了。	[sound:tmpxzgjpl.mp3]	156
I just want to know what time you will come back.	Wǒ zhǐ xiǎng zhīdào nǐ shénme shíhou huílai.	我只想知道你什么时候回来。	[sound:R107-05.mp3]	157
I want to say a few words.	Wǒ xiǎng jiǎng jǐ jù huà. (also shuo, informal)	我想讲几句话。	[sound:tmpan_xo7.mp3]	158
Is your work difficult?	Nǐde gōngzuò nán ma?	你的工作难吗？	[sound:G020-04.mp3]	159
My work is not difficult.	Wǒde gōngzuò bù nán.	我的工作不难。	[sound:G020-05.mp3]	160
His work is not difficult.	Tāde gōngzuò bù nán.	他的工作不难。	[sound:G020-06.mp3]	161
Which is your book?	nǎ běn shì nǐ de shū ? (also na ben shu shi ni de?)	哪本是你的书？	[sound:334623.mp3]	162
I understand her.	Wǒ liǎojiě tā.	我了解她。	[sound:tmp1m4l9y.mp3]	163
He is out now.	tā xiànzài chūqù le .	他现在出去了。	[sound:335030.mp3]	164
I've heard that you are looking for work.	Wǒ tīngshuō nǐ yào zhǎo gōngzuò.	我听说你要找工作。	[sound:R065-03.mp3]	165
I am listening to you.	Wǒ zhèngzài tīng nǐ shuō.	我正在听你说。	[sound:G038-02.mp3]	166
They're reading a book.	Tāmen zài dú yī běn shū.	他们在读一本书。	[sound:tmpotxzhy.mp3]	167
I find this book is very difficult to read. <br /> I found it difficult to read the book.	wǒ fāxiàn dú zhè běn shū hěn nán .	我发现读这本书很难。	[sound:334828.mp3]	168
They're taking an exam.	Tāmen zài kǎoshì.	他们在考试。	[sound:tmpkartyl.mp3]	169
The examination has begun.	Kǎoshì kāishǐ le.	考试开始了。	[sound:tmpkbc6qq.mp3]	170
(Right now) It's half past three.	Xiànzài sān diǎn bàn.	现在三点半。	[sound:R036-03.mp3]	171
(Right now) It's half past four.	Xiànzài shì sì diǎn bàn.	现在是四点半。	[sound:G036-01.mp3]	172
(Right now) It's six.	Xiànzài shì liù diǎn.	现在是六点。	[sound:G036-03.mp3]	173
What do you think should be done about it?	nǐ juéde duìcǐ gāi zuò shénme ?	你觉得对此该做什么？	[sound:333850.mp3]	174
What do you want to drink?	Nǐ yào hē shénme?	你要喝什么？	[sound:G017-03.mp3]	175
Would you like something to drink?	nǐ xiǎng yào shénme hē de ma ?	你想要什么喝的吗？	[sound:334493.mp3]	176
There's nothing I want to drink.	wǒ shénme dōu bù xiǎng hē .	我什么都不想喝。	[sound:332566.mp3]	177
I can't go, nor do I want to.	wǒ qù bù liǎo, yě bù xiǎng qù .	我去不了，也不想去。	[sound:334780.mp3]	178
&quot;Why aren't you going?&quot; &quot;Because I don't want to.&quot;	&quot; nǐ wèishénme bù qù ?&quot;&quot; yīnwèi wǒ bù xiǎng qù .&quot;	&quot;你为什么不去？&quot;&quot;因为我不想去。&quot;	[sound:334446.mp3]	179
I would like to drink something.	Wǒ xiǎng hē dōngxi.	我想喝东西。	[sound:R033-02.mp3]	180
She would like to drink a little something.	Tā xiǎng hē yī diǎn dōngxi.	她想喝一点东西。	[sound:R033-01.mp3]	181
I would like to eat a little something.	Wǒ xiǎng chī yī diǎn dōngxi.	我想吃一点东西。	[sound:G033-02.mp3]	182
I am a man. <br /> I'm a man.	wǒ shì ge nánrén .	我是个男人。	[sound:333655.mp3]	183
A man should work.	nánrén yīnggāi gōngzuò .	男人应该工作。	[sound:334672.mp3]	184
He should have already arrived by now.	xiànzài tā yīnggāi yǐjīng dào le. (also ta xianzai)	现在他应该已经到了。	[sound:333107.mp3]	185
This is the time he should arrive.	tā zhè gè shíhou gāi dào le. (also zhege shihou ta....)	他这个时候该到了。	[sound:332953.mp3]	186
It can't be!	zhè bù kěnéng!	这不可能！	[sound:334699.mp3]	187
You had better go now.	nǐ zuì hǎo xiànzài jiù zǒu. (also xianzai zui hao)	你最好现在就走。	[sound:334627.mp3]	188
Is your university big?	Nǐde dàxué dà ma?	你的大学大吗？	[sound:G007-07.mp3]	189
When will he go to university?	Tā shénme shíhòu shàng dàxué?	他什么时候上大学？	[sound:R031-07.mp3]	190
We saw the child get on the bus.	wǒmen kànjiàn háizi shàng le chē .	我们看见孩子上了车。	[sound:334266.mp3]	191
Are these cars yours? "Yes, they are mine." <br /> "Are these your cars?" "Yes, they are."	zhè xiē chē shì nǐ de ma ?" shì de , shì wǒ de .	“这些车是你的吗？”“是的，是我的。”	[sound:332487.mp3]	192
Is your school in this city?	nǐ de xuéxiào zài zhè gè chéngshì ma? (also zhe zuo4)	你的学校在这个城市吗？	[sound:332900.mp3]	193
This has no effect on him.	zhè duì tā méiyǒu yǐngxiǎng .	这对他没有影响。	[sound:332838.mp3]	194
I don't love you anymore. <br /> I don't like you anymore.	wǒ bù zài ài nǐ le .	我不再爱你了。	[sound:335060.mp3]	195
He's my son.	Tā shì wǒ de érzi.	他是我的儿子。	[sound:tmpkv65zh.mp3]	196
This is my son.	Zhè shì wǒ de érzi.	这是我的儿子。	[sound:tmpyw7q4u.mp3]	197
My son is three years old.	Wǒ érzi sānsuì le. (also you3)	我儿子三岁了。	[sound:tmp_2nydh.mp3]	198
An opportunity presented itself.	Jīhuì lái le.	机会来了。	[sound:tmpanm05k.mp3]	199
I've heard that you are a history teacher.	Wǒ tīng shuō nǐ shì lìshǐ lǎoshī.	我听说你是历史老师。	[sound:G038-04.mp3]	200
Why would you like to learn about Chinese history?	Nǐ wèishénme xiǎng xué Zhōngguó lìshǐ?	你为什么想学中国历史？	[sound:G035-03.mp3]	201
Will you study them?<br />Of course I will study them.	Nǐ yào xué ma?<br />Dāngrán yào xué.	A你要学吗?<br/>B当然要学。	[sound:R017-DLG.mp3]	202
What time do the students start school?	Xuéshengmen jǐdiǎn shàngxué?	学生们几点上学？	[sound:R029-04.mp3]	203
What time do you go to school?	Nǐ jǐdiǎn shàngxué?	你几点上学？	[sound:G029-01.mp3]	204
My students learn things quickly.	Wǒ de xuésheng xué dōngxi kuài.	我的学生学东西快。	[sound:G033-06.mp3]	205
Speaking English is not difficult.	Shuō Yīngyǔ bù nán.	说英语不难。	[sound:G013-05.mp3]	206
English is difficult to learn.	Xué Yīngyǔ hěn nán.	学英语很难。	[sound:R013-05.mp3]	207
Do you know how to speak English?	Nǐ huì shuō Yīngyǔ ma?	你会说英语吗？	[sound:R009-04.mp3]	208
The students would like to study English.	Xuéshengmen xiǎng xué Yīngyǔ.	学生们想学英语。	[sound:R015-07.mp3]	209
How do you study English?	Nǐ shì zěnme xuéxí Yīngyǔ de?	你是怎么学习英语的？	[sound:G018-05.mp3]	210
Have you begun studying English?	nǐ kāishǐ xuéxí yīngyǔ le ma?	你开始学习英语了吗？	[sound:332546.mp3]	211
Where can I study English?	Nǎli kěyǐ xuéxí Yīngyǔ?	哪里可以学习英语？	[sound:G028-06.mp3]	212
Why don't you like to study English?	Nǐ wèishénme bù xǐhuan xuéxí Yīngyǔ?	你为什么不喜欢学习英语？	[sound:G035-07.mp3]	213
I have been studying English for four years.	wǒ xué yīngyǔ xué le 4 nián le. (also no xuele)	我学英语学了4年了。	[sound:333230.mp3]	214
Where can I buy English-language books?	Nǎli kěyǐ mǎi Yīngyǔ shū?	哪里可以买英语书？	[sound:G028-03.mp3]	215
Writing English is not difficult.	Xiě Yīngyǔ bù nán.	写英语不难。	[sound:R013-04.mp3]	216
From now on I will speak English.	Cóng xiànzài qǐ wǒ jiǎng Yīngyǔ.	从现在起我讲英语。	[sound:R036-06.mp3]	217
I can't afford to buy that.	wǒ mǎibùqǐ nà ge .	我买不起那个。	[sound:334044.mp3]	218
Say it in English.	yòng yīngyǔ shuō .	用英语说。	[sound:333760.mp3]	219
He is not what he used to be.	tā bù zài shì yǐqián de nà ge tā le . (also no nage)	他不再是以前的那个他了。	[sound:334034.mp3]	220
He can hardly write his name.	tā hěn nán xiě tā de míngzi .	他很难写他的名字。	[sound:333184.mp3]	221
What's your name?	Nǐ jiào shénme míngzì?	你叫什么名字？	[sound:tmpdetcfg.mp3]	222
He left home and went to school.	Tā líkāi jiā qù xuéxiào. (also le)	他离开家去学校。	[sound:tmp4hwinj.mp3]	223
He and I are the same height.	tā hé wǒ yīyàng gāo .	他和我一样高。	[sound:333772.mp3]	224
The mama is playing with her children.	Māma hé háizimen yīqǐ wánr. (also gen1)	妈妈和孩子们一起玩。	[sound:tmpi5lpwu.mp3]	225
You're one meter tall.	Nǐ yǒu yī mǐ gāo le.	你有一米高了。	[sound:tmpyw1kld.mp3]	226
He and I are the same age.	tā hé wǒ tóng suì .	他和我同岁。	[sound:335118.mp3]	227
He goes to school to study every day.	tā měi tiān qù xuéxiào xuéxí .	他每天去学校学习。	[sound:332839.mp3]	228
They must work 8 hours each day.	tāmen měi tiān bìxū gōngzuò 8 xiǎoshí .	他们每天必须工作8小时。	[sound:334152.mp3]	229
I know all of them.	Tāmen wǒ dōu rènshi.	他们我都认识。	[sound:tmpzltp9g.mp3]	230
I have known her for two years.	wǒ rènshi tā liǎng nián le. (also ta, wo renshi ...)	我认识她两年了。	[sound:333348.mp3]	231
Oh, I know this man! <br /> Oh! I know the man.	ā , wǒ rènshi zhège nánrén !	啊，我认识这个男人！	[sound:332467.mp3]	232
He knows a lot of people. <br /> He has a lot of acquaintances.	tā rènshi hěn duō rén .	他认识很多人。	[sound:335104.mp3]	233
How do you know him?	Nǐ zěnme rènshi tā de?	你怎么认识他的？	[sound:R018-05.mp3]	234
Do you know his teacher?	Nǐ rènshi tā de lǎoshī ma?	你认识他的老师吗？	[sound:R003-01.mp3]	235
Do you know him?	Nǐ rènshi tā ma?	你认识他吗？	[sound:tmpm71pox.mp3]	236
I know him.	Wǒ rènshi tā.	我认识他。	[sound:R003-02.mp3]	237
Do you know my student?	Nǐ rènshi wǒde xuéshēng ma?	你认识我的学生吗？	[sound:G003-07.mp3]	238
Do you know him?	Nǐ rènshi tā ma?	你认识他吗？	[sound:G003-01.mp3]	239
How do you know him?<br />He is my classmate.	Nǐ zěnme rènshi tā?<br />Tā shì wǒ de tóngxué.	A你怎么认识他?<br/>B他是我的同学。	[sound:R018-DLG.mp3]	240
Today, I made a new friend.	Jīntiān wǒ rènshi le yīge xīn péngyou.	今天我认识了一个新朋友。	[sound:tmp7n0lzn.mp3]	241
They knew each other from before.	Tāmen běnlái jiù rènshi.	他们本来就认识。	[sound:tmpfvliaz.mp3]	242
These children are all very cute.	Zhèxiē háizi dōu hěn kěài.	这些孩子都很可爱。	[sound:tmp3xrlev.mp3]	243
Your father is tall.	nǐ bàba hěn gāo .	你爸爸很高。	[sound:334118.mp3]	244
Papa is out, but mama is at home.	bàba chūqù le, dàn māma zài jiā .	爸爸出去了，但妈妈在家。	[sound:334240.mp3]	245
My papa is much taller than me.	Bàba bǐ wǒ gāo hěn duō.	爸爸比我高很多。	[sound:tmp_tyost.mp3]	246
Sam is two years younger than Tom.	Sam bǐ Tom xiǎo liǎng suì .	Sam比Tom小两岁。	[sound:333708.mp3]	247
He used to know her, but now they are no longer friends.	tā guòqù rènshi tā, dàn tāmen xiànzài bù zài shì péngyou le.	他过去认识她，但他们现在不再是朋友了。	[sound:333704.mp3]	248
I listened, but I heard nothing.	wǒ tīng le, dàn shénme yě méi tīng dào .	我听了，但什么也没听到。	[sound:333390.mp3]	249
We should do our best.	wǒmen yīnggāi zuòdào zuì hǎo .	我们应该做到最好。	[sound:334642.mp3]	250
