order	sentence	pinyin	english
59	他们为什么去？	Tāmen wèishénme qù?	Why did they go?
60	她为什么去？	Tā wèishénme qù?	Why did she go?
61	为什么你不来看我们？	wèishénme nǐ bù lái kàn wǒmen? (also ni first)<div>(no mei... mei is like you said you'd come but didn't)</div><div>(kan is long timeframe no visit, jian ok for short timeframe no visit)</div>	Why don't you come visit us?
62	这是我的书。	zhè shì wǒ de shū .	This is my book.
63	他喜欢这本书。	Tā xǐhuan zhè běn shū.	He likes this book.
64	我不喜欢这本书。	Wǒ bù xǐhuan zhèběn shū.	I don't like this book.
65	我给了你一本书。	wǒ gěi le nǐ yī běn shū .	I gave you a book.
66	那本书是我的。	Nà běn shū shì wǒ de.	That book is mine.
67	让我想一想。	Ràng wǒ xiǎng yī xiǎng.	Let me think about it.
68	请让一让！	Qǐng ràng yī ràng!	Please let me through
69	你为什么那么做？	Nǐ wèishénme nàme zuò?	Why did you do that?
70	你喜欢学校吗？	Nǐ xǐhuan xuéxiào ma?	Do you like school?
71	我在学校。	Wǒ zài xuéxiào.	I am at school.
72	学生不喜欢学校。	Xuéshēng bù xǐhuan xuéxiào.	The students don't like school.
73	我要去学校。	Wǒ yào qù xuéxiào.	I'm going to school.
74	学校在哪里？	Xuéxiào zài nǎli?	Where is the school?
75	我是老师。	Wǒ shì lǎoshī.	I'm a teacher.
76	她是我们的老师。	Tā shì wǒmen de lǎoshī.	She is our teacher.
77	他们都是好老师。	tāmen dōu shì hǎo lǎoshī .	They are all good teachers.
78	你要去看老师吗？	Nǐ yào qù kàn lǎoshī ma?	Are you going to go see the teacher?
79	他要去看老师。	Tā yào qù kàn lǎoshī.	He is going to see the teacher.
80	我是老师。	Wǒ shì lǎoshī.	I am a teacher.
81	老师要去学校。	Lǎoshī yào qù xuéxiào.	The teacher is going to school.
82	老师去哪里？	Lǎoshī qù nǎli?	Where is the teacher going?
83	听老师说。	Tīng lǎoshī shuō.	Listen to the teacher.
84	他是美国人。	Tā shì Měiguó rén.	He's an American.
85	我是美国人。	Wǒ shì Měiguórén.	I am an American.
86	他是美国人。	tā shì Měiguórén .	He is American. <br /> He is an American.
87	他很喜欢美国。	Tā hěn xǐhuan Měiguó.	He really likes the United States.
88	美国大吗？	Měiguó dà ma?	Is the United States big?
89	我从美国来。	Wǒ cóng Měiguó lái.	I'm from America.
90	这里是美国。	Zhèli shì Měiguó.	This is America.
91	她住在哪里？	Tā zhùzài​ nǎli?	Where does she live?
92	你的朋友住哪里？	Nǐ de péngyou zhù nǎli?	Where does your friend live?
93	我们是同学。	wǒmen shì tóngxué .	We're classmates.
94	他不喜欢他的同学们。	Tā bù xǐhuan tā de tóngxuémen.	He doesn't like his classmates.
95	他们都是一样的吗？	tāmen dōu shì yīyàng de ma?	Are they all the same?
96	她的孩子她都一样爱。	tā de háizi tā dōu yīyàng ài .	She loved her children alike.
97	这里是哪里啊？	Zhèli shì nǎli a?	Where is this place?
98	请跟我来。	Qǐng gēn wǒ lái.	Please come with me.
99	他跟你说什么，你就做什么。	tā gēn nǐ shuō shénme, nǐ jiù zuò shénme .	Do whatever he tells you.
100	这本书谁想要就给谁吧。	zhè běn shū shéi xiǎng yào jiù gěi shéi ba .	Give the book to whomever wants it.
101	她一到，我们就开始。	tā yī dào, wǒmen jiù kāishǐ .	As soon as she comes, we will begin.
102	走吧。	zǒu ba .	Let's go.
103	你想走的时候就走吧。	nǐ xiǎng zǒu de shíhou jiù zǒu ba.	Go when you want, ok?
104	你走了，我们都会想你的。	nǐ zǒu le, wǒmen dōu huì xiǎng nǐ de.	When you go, we'll all miss you! (for sure)
105	我跟他一起工作。	Wǒ gēn tā yīqǐ gōngzuò.	I work with him.
106	A我也想。<br/>B那跟我们一起去吧！	Wǒ yě xiǎng.<br />Nà gēn wǒmen yī qǐ qù ba!	I also want to.<br />Then go with us!
107	Kate,坐吧。	Kate, zuò ba .	Sit down, Kate.
108	“是谁？”“是你妈妈。”	shì shéi? shì nǐ māma.	Who is it? "It's your mother."
109	现在是10点。	Xiànzài shì shí diǎn.	It's ten o'clock now.
110	你现在好点了吗？	nǐ xiànzài hǎo diǎn le ma?	Are you a little better now?
111	现在是几点？	Xiànzài shì jǐ diǎn? (also Xiànzài jǐ diǎn le?)	What time is it now?
112	现在几点了？	Xiànzài jǐ diǎn le?	What time is it now?
113	现在三点。	Xiànzài sān diǎn.	(Right now) It's three.
114	他有三个孩子。	Tā yǒu sānge háizi.	He has three kids.
115	已经是11点了。	yǐjīng shì 11 diǎn le. (also no shi)	It is already eleven.
116	他们有两个孩子。	Tāmen yǒu liǎng gè háizi.	They have two children.
117	已经五点了。	Yǐjīng wǔ diǎn le. (also shi)	It's already five o'clock.
118	现在是五点。	Xiànzài shì wǔ diǎn.	(Right now) It's five.
119	晚上好。	wǎnshang hǎo .	Good evening.
120	她在跟谁说话？	Tā zài gēn shéi shuōhuà?	Who is she speaking with?
121	他在跟谁说话？	Tā zài gēn shéi shuōhuà?	Who is he speaking with?
122	北京是个大的地方。	Běijīng shì gè dà de dìfang.	Beijing is a big place.
123	他是什么地方人？	Tā shì shénme dìfang rén?	Where is he from?
124	你是中国人吗？	Nǐ shì Zhōngguórén ma?	Are you Chinese?
125	老师是中国人。	Lǎoshī shì Zhōngguórén.	The teacher is Chinese.
126	您是中国人吗？	Nín shì Zhōngguórén ma?	Are you Chinese? (polite)
127	您学习吗？	nín xuéxí ma ?	Are you studying? (polite)
128	她跟家人在一起。	Tā gēn jiārén zài yīqǐ.	She is with her family.
129	你看见什么了？	Nǐ kànjian shénme le?	What have you seen?
130	我在家。	Wǒ zài jiā.	I am at home.
131	她在家吗？	Tā zài jiā ma? (also jiali)	Is she at home?
132	我要去看电影。	Wǒ yào qù kàn diànyǐng.	I am going to see a movie.
133	我想去看电影。	Wǒ xiǎng qù kàn diànyǐng.	I want to go see a movie.
134	电影好看吗？	Diànyǐng hǎo kàn ma?	Is it a good movie?
135	我必须走了。	Wǒ bìxū zǒu le.	I must go.
136	我们必须去学校了。	wǒmen bìxū qù xuéxiào le.	We must go to school!
137	准备好了吗？	Zhǔnbèi hǎo le ma?	Are you ready?
138	准备好了吗？	Zhǔnbèi hǎo le ma?	Are you ready?
139	我往学校去。	Wǒ wǎng xuéxiào qù. (also xiang4)	I'm headed to school. (as in, where ya headed?)
140	一人说一句。	Yī rén shuō yī jù.	Each of you say one sentence.
141	我想对你说几句话。	Wǒ xiǎng duì nǐ shuō jǐ jù huà. (also gen3, gei3) (also jiang3)	I'd like to say a few words to you.
142	我的同学没有钱。	Wǒ de tóngxué méi yǒu qián.	My classmate doesn't have any money.
143	这有很多钱。	Zhè yǒu hěn duō qián.	There is a lot of money here.
144	她有很多事要做。	tā yǒu hěn duō shì yào zuò. (also gai zuo de)	She has a lot to do.
145	最后她没有来。	zuìhòu tā méiyǒu lái .	In the end, she did not come.
146	A家里有吗?<br/>B没有。	Jiālǐ yǒu ma?<br />Méi yǒu.	What about at home?<br />I don't have one at home.
147	有什么事是我该做的吗？	yǒu shénme shì shì wǒ gāi zuò de ma ?	Is there anything I should do?
148	他告诉我什么时候该说是。	tā gàosu wǒ shénme shíhou gāi shuō shì .	He told me when I should say yes.
149	你能告诉我这是什么吗？	nǐ néng gàosu wǒ zhè shì shénme ma ?	Can you tell me what this is?
150	什么时候可以告诉我？	Shénme shíhou kěyǐ gàosu wǒ? (ni ss neng gaosu wo)	When can you tell me?
151	我觉得你的工作可以。	wǒ juéde nǐ de gōngzuò kěyǐ .	I think your work is all right.
152	我告诉你一件事。	Wǒ gàosu nǐ yī jiàn shì.	I'll tell you something.
153	我觉得你说的是真的。	wǒ juéde nǐ shuō de shì zhēn de .	I think what you say is true.
154	当然可以！	Dāngrán kěyǐ.	Of course it's okay.
155	我今天花了很多钱。	Wǒ jīntiān huāle hěn duō qián.	I spent a lot of money today.
156	我回来了。	Wǒ huílai le.	I'm back.
157	我只想知道你什么时候回来。	Wǒ zhǐ xiǎng zhīdào nǐ shénme shíhou huílai.	I just want to know what time you will come back.
158	我想讲几句话。	Wǒ xiǎng jiǎng jǐ jù huà. (also shuo, informal)	I want to say a few words.
159	你的工作难吗？	Nǐde gōngzuò nán ma?	Is your work difficult?
160	我的工作不难。	Wǒde gōngzuò bù nán.	My work is not difficult.
161	他的工作不难。	Tāde gōngzuò bù nán.	His work is not difficult.
162	哪本是你的书？	nǎ běn shì nǐ de shū ? (also na ben shu shi ni de?)	Which is your book?
163	我了解她。	Wǒ liǎojiě tā.	I understand her.
164	他现在出去了。	tā xiànzài chūqù le .	He is out now.
165	我听说你要找工作。	Wǒ tīngshuō nǐ yào zhǎo gōngzuò.	I've heard that you are looking for work.
166	我正在听你说。	Wǒ zhèngzài tīng nǐ shuō.	I am listening to you.
167	他们在读一本书。	Tāmen zài dú yī běn shū.	They're reading a book.
168	我发现读这本书很难。	wǒ fāxiàn dú zhè běn shū hěn nán .	I find this book is very difficult to read. <br /> I found it difficult to read the book.
169	他们在考试。	Tāmen zài kǎoshì.	They're taking an exam.
170	考试开始了。	Kǎoshì kāishǐ le.	The examination has begun.
171	现在三点半。	Xiànzài sān diǎn bàn.	(Right now) It's half past three.
172	现在是四点半。	Xiànzài shì sì diǎn bàn.	(Right now) It's half past four.
173	现在是六点。	Xiànzài shì liù diǎn.	(Right now) It's six.
174	你觉得对此该做什么？	nǐ juéde duìcǐ gāi zuò shénme ?	What do you think should be done about it?
175	你要喝什么？	Nǐ yào hē shénme?	What do you want to drink?
176	你想要什么喝的吗？	nǐ xiǎng yào shénme hē de ma ?	Would you like something to drink?
177	我什么都不想喝。	wǒ shénme dōu bù xiǎng hē .	There's nothing I want to drink.
178	我去不了，也不想去。	wǒ qù bù liǎo, yě bù xiǎng qù .	I can't go, nor do I want to.
179	&quot;你为什么不去？&quot;&quot;因为我不想去。&quot;	&quot; nǐ wèishénme bù qù ?&quot;&quot; yīnwèi wǒ bù xiǎng qù .&quot;	&quot;Why aren't you going?&quot; &quot;Because I don't want to.&quot;
180	我想喝东西。	Wǒ xiǎng hē dōngxi.	I would like to drink something.
181	她想喝一点东西。	Tā xiǎng hē yī diǎn dōngxi.	She would like to drink a little something.
182	我想吃一点东西。	Wǒ xiǎng chī yī diǎn dōngxi.	I would like to eat a little something.
183	我是个男人。	wǒ shì ge nánrén .	I am a man. <br /> I'm a man.
184	男人应该工作。	nánrén yīnggāi gōngzuò .	A man should work.
185	现在他应该已经到了。	xiànzài tā yīnggāi yǐjīng dào le. (also ta xianzai)	He should have already arrived by now.
186	他这个时候该到了。	tā zhè gè shíhou gāi dào le. (also zhege shihou ta....)	This is the time he should arrive.
187	这不可能！	zhè bù kěnéng!	It can't be!
188	你最好现在就走。	nǐ zuì hǎo xiànzài jiù zǒu. (also xianzai zui hao)	You had better go now.
189	你的大学大吗？	Nǐde dàxué dà ma?	Is your university big?
190	他什么时候上大学？	Tā shénme shíhòu shàng dàxué?	When will he go to university?
191	我们看见孩子上了车。	wǒmen kànjiàn háizi shàng le chē .	We saw the child get on the bus.
192	“这些车是你的吗？”“是的，是我的。”	zhè xiē chē shì nǐ de ma ?" shì de , shì wǒ de .	Are these cars yours? "Yes, they are mine." <br /> "Are these your cars?" "Yes, they are."
193	你的学校在这个城市吗？	nǐ de xuéxiào zài zhè gè chéngshì ma? (also zhe zuo4)	Is your school in this city?
194	这对他没有影响。	zhè duì tā méiyǒu yǐngxiǎng .	This has no effect on him.
195	我不再爱你了。	wǒ bù zài ài nǐ le .	I don't love you anymore. <br /> I don't like you anymore.
196	他是我的儿子。	Tā shì wǒ de érzi.	He's my son.
197	这是我的儿子。	Zhè shì wǒ de érzi.	This is my son.
198	我儿子三岁了。	Wǒ érzi sānsuì le. (also you3)	My son is three years old.
199	机会来了。	Jīhuì lái le.	An opportunity presented itself.
200	我听说你是历史老师。	Wǒ tīng shuō nǐ shì lìshǐ lǎoshī.	I've heard that you are a history teacher.
201	你为什么想学中国历史？	Nǐ wèishénme xiǎng xué Zhōngguó lìshǐ?	Why would you like to learn about Chinese history?
202	A你要学吗?<br/>B当然要学。	Nǐ yào xué ma?<br />Dāngrán yào xué.	Will you study them?<br />Of course I will study them.
203	学生们几点上学？	Xuéshengmen jǐdiǎn shàngxué?	What time do the students start school?
204	你几点上学？	Nǐ jǐdiǎn shàngxué?	What time do you go to school?
205	我的学生学东西快。	Wǒ de xuésheng xué dōngxi kuài.	My students learn things quickly.
206	说英语不难。	Shuō Yīngyǔ bù nán.	Speaking English is not difficult.
207	学英语很难。	Xué Yīngyǔ hěn nán.	English is difficult to learn.
208	你会说英语吗？	Nǐ huì shuō Yīngyǔ ma?	Do you know how to speak English?
209	学生们想学英语。	Xuéshengmen xiǎng xué Yīngyǔ.	The students would like to study English.
210	你是怎么学习英语的？	Nǐ shì zěnme xuéxí Yīngyǔ de?	How do you study English?
211	你开始学习英语了吗？	nǐ kāishǐ xuéxí yīngyǔ le ma?	Have you begun studying English?
212	哪里可以学习英语？	Nǎli kěyǐ xuéxí Yīngyǔ?	Where can I study English?
213	你为什么不喜欢学习英语？	Nǐ wèishénme bù xǐhuan xuéxí Yīngyǔ?	Why don't you like to study English?
214	我学英语学了4年了。	wǒ xué yīngyǔ xué le 4 nián le. (also no xuele)	I have been studying English for four years.
215	哪里可以买英语书？	Nǎli kěyǐ mǎi Yīngyǔ shū?	Where can I buy English-language books?
216	写英语不难。	Xiě Yīngyǔ bù nán.	Writing English is not difficult.
217	从现在起我讲英语。	Cóng xiànzài qǐ wǒ jiǎng Yīngyǔ.	From now on I will speak English.
218	我买不起那个。	wǒ mǎibùqǐ nà ge .	I can't afford to buy that.
219	用英语说。	yòng yīngyǔ shuō .	Say it in English.
220	他不再是以前的那个他了。	tā bù zài shì yǐqián de nà ge tā le . (also no nage)	He is not what he used to be.
221	他很难写他的名字。	tā hěn nán xiě tā de míngzi .	He can hardly write his name.
222	你叫什么名字？	Nǐ jiào shénme míngzì?	What's your name?
223	他离开家去学校。	Tā líkāi jiā qù xuéxiào. (also le)	He left home and went to school.
224	他和我一样高。	tā hé wǒ yīyàng gāo .	He and I are the same height.
225	妈妈和孩子们一起玩。	Māma hé háizimen yīqǐ wánr. (also gen1)	The mama is playing with her children.
226	你有一米高了。	Nǐ yǒu yī mǐ gāo le.	You're one meter tall.
227	他和我同岁。	tā hé wǒ tóng suì .	He and I are the same age.
228	他每天去学校学习。	tā měi tiān qù xuéxiào xuéxí .	He goes to school to study every day.
229	他们每天必须工作8小时。	tāmen měi tiān bìxū gōngzuò 8 xiǎoshí .	They must work 8 hours each day.
230	他们我都认识。	Tāmen wǒ dōu rènshi.	I know all of them.
231	我认识她两年了。	wǒ rènshi tā liǎng nián le. (also ta, wo renshi ...)	I have known her for two years.
232	啊，我认识这个男人！	ā , wǒ rènshi zhège nánrén !	Oh, I know this man! <br /> Oh! I know the man.
233	他认识很多人。	tā rènshi hěn duō rén .	He knows a lot of people. <br /> He has a lot of acquaintances.
234	你怎么认识他的？	Nǐ zěnme rènshi tā de?	How do you know him?
235	你认识他的老师吗？	Nǐ rènshi tā de lǎoshī ma?	Do you know his teacher?
236	你认识他吗？	Nǐ rènshi tā ma?	Do you know him?
237	我认识他。	Wǒ rènshi tā.	I know him.
238	你认识我的学生吗？	Nǐ rènshi wǒde xuéshēng ma?	Do you know my student?
239	你认识他吗？	Nǐ rènshi tā ma?	Do you know him?
240	A你怎么认识他?<br/>B他是我的同学。	Nǐ zěnme rènshi tā?<br />Tā shì wǒ de tóngxué.	How do you know him?<br />He is my classmate.
241	今天我认识了一个新朋友。	Jīntiān wǒ rènshi le yīge xīn péngyou.	Today, I made a new friend.
242	他们本来就认识。	Tāmen běnlái jiù rènshi.	They knew each other from before.
243	这些孩子都很可爱。	Zhèxiē háizi dōu hěn kěài.	These children are all very cute.
244	你爸爸很高。	nǐ bàba hěn gāo .	Your father is tall.
245	爸爸出去了，但妈妈在家。	bàba chūqù le, dàn māma zài jiā .	Papa is out, but mama is at home.
246	爸爸比我高很多。	Bàba bǐ wǒ gāo hěn duō.	My papa is much taller than me.
247	Sam比Tom小两岁。	Sam bǐ Tom xiǎo liǎng suì .	Sam is two years younger than Tom.
248	他过去认识她，但他们现在不再是朋友了。	tā guòqù rènshi tā, dàn tāmen xiànzài bù zài shì péngyou le.	He used to know her, but now they are no longer friends.
249	我听了，但什么也没听到。	wǒ tīng le, dàn shénme yě méi tīng dào .	I listened, but I heard nothing.
250	我们应该做到最好。	wǒmen yīnggāi zuòdào zuì hǎo .	We should do our best.
251	上海人很多吗？	Shànghǎi rén hěn duō ma?	Does Shanghai have a lot of people?
252	上海人很多。	Shànghǎi rén hěn duō.	Shanghai has a lot of people.
253	我不要去上海。	Wǒ bù yào qù Shànghǎi.	I'm not going to Shanghai.
254	她为什么今天要回上海？	Tā wèishénme jīntiān yào huí Shànghǎi?	Why will she go back to Shanghai today?
255	我们回家了。	Wǒmen huíjiā le.	We've returned home.
256	我可以回家吗？	Wǒ kěyǐ huí jiā ma?	Can I go home?
257	她可以回家。	Tā kěyǐ huí jiā.	She can return home.
258	他几点回家？	Tā jǐdiǎn huí jiā?	What time is he going back home?
259	你几点回家？	Nǐ jǐdiǎn huí jiā?	What time are you going home?
260	你回答了什么？	nǐ huídá le shénme ?	What did you answer?
261	你喜欢音乐吗？	nǐ xǐhuān yīnyuè ma ?	Do you like music? <br /> Do you love music?
262	“她喜欢音乐。”“我也是。”	&quot; tā xǐhuān yīnyuè .&quot;&quot; wǒ yě shì .&quot;	&quot;She likes music.&quot; &quot;So do I.&quot;
263	A说也难吗?<br/>B说不太难。	Shuō yě nán ma?<br />Shuō bú tài nán.	Is speaking also difficult?<br />Speaking is not too difficult.
264	“相信我。”他说。	xiāngxìn wǒ . tā shuō .	Believe me he said.
265	他的英语说得很好。	Tāde Yīngyǔ shuōde hěn hǎo.	He speaks English really well.
266	A我英语说得不太好。<br/>B我也说得不太好。	Wǒ Yīngyǔ shuō de bú tài hǎo.<br />Wǒ yě shuō de bú tài hǎo.	I don't speak English very well.<br />I also don't speak it very well.
267	你英语说得很好。	Nǐ Yīngyǔ shuōde hěn hǎo.	You speak English really well.
268	大家都知道她的英语说得很好。	dàjiā dōu zhīdào tā de yīngyǔ shuō de hěn hǎo. (also no 1st de)	Everyone knows she can speak English well.
269	大家看我的决定对吗？	Dàjiā kàn wǒ de juédìng duì ma?	Does everyone view my decision as correct?
270	你明白了吗？	Nǐ míngbai le ma?	Did you understand?
271	我不太明白他说什么。	wǒ bù tài míngbai tā shuō shénme. (also liaojie)	I don't understand too well what he's saying.
272	我终于明白了。	Wǒ zhōngyú míngbai le.	At last, I understand.
273	她是我的女儿。	Tā shì wǒ de nǚ'ér.	She's my daughter.
274	我们有两个女儿。	wǒmen yǒu liǎng ge nǚér .	We have two daughters.
275	他们的女儿很可爱。	Tāmen de nǚ'ér hěn kě'ài.	Their daughter is cute.
276	她想当老师。	Tā xiǎng dāng lǎoshī.	She wants to be a teacher.
277	音乐很好听。	Yīnyuè hěn hǎo tīng.<div>(Also ting hao ting) (Ting hao le means you listened well)</div>	The music is very good.
278	他们一个在做，另一个在看。	Tāmen yī gè zài zuò, lìng yī gè zài kàn.	One of them is doing and the other is watching.
279	你有钱吗？	Nǐ yǒu qián ma?	Do you have any money?
280	我们会经过你家。	Wǒmen huì jīngguò nǐ jiā.	We will pass by your house.
281	她是他的一切。	tā shì tā de yīqiè .	She is everything to him.
282	你是我的一切。	nǐ shì wǒ de yīqiè .	You are everything to me.
283	一切都没有问题。	Yīqiè dōu méiyǒu wèntí.	Everything is ok/no problem.
284	我希望最后一切都好。	wǒ xīwàng zuìhòu yīqiè dōuhǎo .	I hope everything will turn out well in the end.
285	其他的一切都好。	qítā de yīqiè dōuhǎo .	All else is fine.
286	我希望如此。	wǒ xīwàng rúcǐ .	I hope so.
287	这些衣服是女儿的。	Zhèxiē yīfu shì nǚ'ér de.	These clothes belong to my daughter.
288	Maria花很多钱买衣服。	Maria huā hěn duō qián mǎi yīfu .	Maria spends a lot of money on clothes.
289	我喜欢买衣服。	Wǒ xǐhuan mǎi yīfu.	I like buying clothes.
290	她买了一件衣服。	Tā mǎile yī jiàn yīfu.	She bought a piece of clothing.
291	这件衣服多少钱？	Zhè jiàn yīfu duōshǎo qián?	How much does this piece of clothing cost?
292	她有很多爱好。	Tā yǒu hěn duō àihào.	She has a lot of hobbies.
293	你有很多爱好吗？	Nǐ yǒu hěn duō àihào ma?	Do you have a lot of hobbies?
294	我会去接他的。	wǒ huì qù jiē tā de.	I'll go pick him up. (for sure)
295	接电话。	jiē diànhuà .	Answer the phone.
296	请接一下电话。	Qǐng jiē yīxià diànhuà. (also no yixia)	Please answer the phone. (polite)
297	让我介绍一下我的同学。	Ràng wǒ jièshào yī xià wǒde tóngxué.	Let me introduce my classmate.
298	我也来介绍一下!	Wǒ yě lái jièshào yīxià!	I'll also introduce myself!
299	请介绍你自己。	Qǐng jièshào nǐ zìjǐ. (also qing ziwo jieshao yixia)	Please introduce yourself.
300	我不能让自己做这样的事。	wǒ bù néng ràng zìjǐ zuò zhèyàng de shì. (also wo ziji)	I can't let myself do this kind of thing.
301	问题是那天我们的车不能用。	wèntí shì nà tiān wǒmen de chē bù néng yòng. (also bu neng yong women de che)	The problem is we can't use our car that day.
302	他们有他们自己的文化。	tāmen yǒu tāmén zìjǐ de wénhuà .	They have their own culture.
303	我不记得了。	Wǒ bú jìde le.	I can't remember.
304	我记得他以前在我们公司工作。	Wǒ jìde tā yǐqián zài wǒmen gōngsī gōngzuò.	I remember that he used to work at our company.
305	我在看英文书。	Wǒ zài kàn Yīngwén shū. (also du)	I'm reading an English book.
306	找工作很容易。	Zhǎo gōngzuò hěn róngyì.	Finding a job is easy.
307	我不会写中文。	Wǒ bù huì xiě Zhōngwén.	I do not know how to write Chinese.
308	问题解决了。	Wèntí jiějué le.	The problem has been solved.
309	她很有才能。	Tā hěn yǒu cáinéng.	She's very talented.
310	发生了什么事？	Fāshēngle shénme shì? (also le at the end)	What happened?
311	我想知道她发生什么事了。	wǒ xiǎng zhīdào tā fāshēng shénme shì le. (also chu1)	I wonder what has happened to her.
312	学生学东西很快。	Xuéshēng xué dōngxi hěn kuài.	The students learn things quickly.
313	他很快就会回来的。	tā hěn kuài jiù huì huílai de .	He will be back soon.
314	他很快就会回来。	tā hěn kuài jiù huì huílai. (also de)&nbsp;(also no jiu)	He will be back very soon.
315	我五点到你家来接你。	wǒ wǔ diǎn dào nǐ jiā lái jiē nǐ . (also no lai)	I'll pick you up at your home at five.
316	现在的中国，一切都变了。	Xiànzài de Zhōngguó, yīqiè dōu biàn le.	Now in China, everything has changed.
317	这是你的信。	zhè shì nǐ de xìn.	This is your letter.
318	他跟我们住的很远。	Tā gēn wǒmen zhùde hěn yuǎn. (also he/li) (also ta zhu de li wo men hen yuan)	He lives very far from us.
319	学校离我家很远。	Xuéxiào lí wǒ jiā hěn yuǎn.	The school is far away from my home.
320	我家离学校很近。	Wǒ jiā lí xuéxiào hěn jìn.	My home is very close to the school.
321	让我知道是否有什么我能做的。	ràng wǒ zhīdào shìfǒu yǒu shénme wǒ néng zuò de .	Let me know if there is anything I can do.
322	他们认为她是学校里最好的老师。	Tāmen rènwéi tā shì xuéxiào lǐ zuì hǎode lǎoshī.	They consider her to be the best teacher in the school.
323	你不这么认为吗？	nǐ bù zhème rènwéi ma?	Don't you think so?
324	如果我是你，我也会这么做。	rúguǒ wǒ shì nǐ, wǒ yě huì zhème zuò. (also no hui)	If I were you, I would do this, too.
325	如果我们不吃，就会死。	rúguǒ wǒmen bù chī, jiù huì sǐ.	If we don't eat, we'll just die.
326	我来帮您。	Wǒ lái bāng nín.	I'll come help you. (polite)
