Frequency,Character,Count,Percentile,Pin1Yin1,Meaning,Heisig,Polv’s order,Polv’s level,Dubbing,Variant,Kanji,Vocab
181,世,214990,53.73122795,shi4,life/age/generation/era/world/lifetime,28,11,1,Pleasant,丗,WK_L4,去世 qù shì to pass away to die<br>世代 shì dài for many generations generation era age<br>问世 問世 wèn shì to be published to come out<br>世界 shì jiè world<br>世纪 世紀 shì jì century<br>逝世 shì shì to pass away to die<br>举世瞩目 舉世矚目 jǔ shì zhǔ mù to receive worldwide attention<br>
43,自,611687,28.43791595,zi4,from/self/oneself/since,33,12,1,Pleasant,,WK_L5,自己 zì jǐ oneself one's own<br>自然 zì rán nature natural naturally<br>自主 zì zhǔ independent to act for oneself autonomous<br>各自 gè zì each respective apiece<br>自动 自動 zì dòng automatic voluntarily<br>自信 zì xìn to have confidence in oneself self-confidence<br>自从 自從 zì cóng since (a time) ever since<br>自由 zì yóu freedom free liberty<br>来自 來自 lái zì to come from (a place) From: (in email header)<br>自发 自發 zì fā spontaneous<br>自力更生 zì lì gēng shēng regeneration through one's own effort (idiom) self-reliance<br>自觉 自覺 zì jué conscious aware on one's own initiative conscientious<br>自行车 自行車 zì xíng chē bicycle bike<br>亲自 親自 qīn zì personally in person oneself<br>自满 自滿 zì mǎn complacent self-satisfied<br>自愿 自願 zì yuàn voluntary<br>自私 zì sī selfish selfishness<br>私自 sī zì private personal secretly without explicit approval<br>自豪 zì háo proud (of one's achievements etc)<br>自卑 zì bēi feeling inferior self-abased<br>擅自 shàn zì without permission of one's own initiative<br>
14,中,1104541,16.49906205,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)",38,13,1,Pleasant,塚,WK_L2,中立 zhōng lì neutral<br>中国 中國 zhōng guó China<br>中心 zhōng xīn center heart core<br>中间 中間 zhōng jiān between intermediate mid middle<br>中文 zhōng wén Chinese Chinese written language Chinese writing<br>其中 qí zhōng among in included among these<br>集中 jí zhōng to concentrate to centralize to focus centralized concentrated to put together<br>中断 中斷 zhōng duàn to cut short to break off to discontinue to interrupt<br>中介 zhōng jiè to act as intermediary to link intermediate inter- agency agent<br>中央 zhōng yāng central middle center central authorities (of a state)<br>中午 zhōng wǔ noon midday<br>中旬 zhōng xún middle third of a month<br>
16,上,1069575,17.60965604,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up",45,14,1,Pleasant,丄,WK_L1,"上 shàng on top upon above upper previous first (of multiple parts) to climb to get onto to go up to attend (class or university)<br>上当 上當 shàng dàng taken in (by sb's deceit) to be fooled to be duped<br>上任 shàng rèn to take office previous (incumbent) predecessor<br>不相上下 bù xiāng shàng xià equally matched about the same<br>上进 上進 shàng jìn to make progress to do better fig. ambitious to improve oneself to move forwards<br>早上 zǎo shang early morning<br>上级 上級 shàng jí higher authorities superiors<br>马上 馬上 mǎ shàng at once right away immediately on horseback (i.e. by military force)<br>上游 shàng yóu upper reaches (of a river) upper level upper echelon upstream<br>上网 上網 shàng wǎng to go online to connect to the Internet (of a document etc) to be uploaded to the Internet (tennis, volleyball etc) to move in close to the net<br>晚上 wǎn shang evening night in the evening<br>上班 shàng bān to go to work to be on duty to start work to go to the office<br>上午 shàng wǔ morning<br>锦上添花 錦上添花 jǐn shàng tiān huā lit. on brocade, add flowers (idiom); to decorate sth already perfect gilding the lily<br>雪上加霜 xuě shàng jiā shuāng to add hail to snow (idiom); one disaster on top of another to make things worse in a bad situation<br>上瘾 上癮 shàng yǐn to get into a habit to become addicted<br>"
42,下,621185,28.1218052,xia4,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter",46,15,1,Pleasant,丅,WK_L1,"下 xià down downwards below lower later next (week etc) second (of two parts) to decline to go down to arrive at (a decision, conclusion etc) measure word to show the frequency of an action<br>一下 yī xià (used after a verb) give it a go to do (sth for a bit to give it a try) one time once in a while all of a sudden all at once<br>不相上下 bù xiāng shàng xià equally matched about the same<br>下属 下屬 xià shǔ subordinate underling<br>下载 下載 xià zǎi to download<br>下雨 xià yǔ to rain<br>下午 xià wǔ afternoon p.m.<br>"
97,只,370059,41.1981099,qi2/zhi1/zhi3,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only",51,16,1,Pleasant,子隻止,Variant_WK_L2,"只 隻 zhī classifier for birds and certain animals, one of a pair, some utensils, vessels etc<br>只 zhǐ only merely just but<br>只好 zhǐ hǎo without any better option to have to to be forced to<br>只有…才… 只有…纔… zhǐ yǒu … cái … only if … (can) … … is a prerequisite for …<br>只要 zhǐ yào if only so long as<br>"
200,员,200217,55.77823144,yuan2,person/employee/member,55,17,1,Pleasant,員,Variant_WK_L12,员工 員工 yuán gōng staff personnel employee<br>成员 成員 chéng yuán member<br>动员 動員 dòng yuán to mobilize to arouse mobilization<br>人员 人員 rén yuán staff crew personnel<br>委员 委員 wěi yuán committee member committee council<br>服务员 服務員 fú wù yuán waiter waitress attendant customer service personnel<br>演员 演員 yǎn yuán actor or actress performer<br>裁员 裁員 cái yuán to cut staff to lay off employees<br>售货员 售貨員 shòu huò yuán salesperson<br>
192,儿,207827,54.93402313,er2/er,"son, non-syllabic dimi. suff.",56,18,1,Pleasant,兒,,"儿子 兒子 ér zi son<br>一点儿 一點兒 yī diǎn r a bit a little one dot one point<br>女儿 女兒 nǚ ér daughter<br>一会儿 一會兒 yī huì r a moment a while in a moment now...now...<br>心眼儿 心眼兒 xīn yǎn r one's thoughts mind intention willingness to accept new ideas baseless suspicions<br>干活儿 幹活兒 gàn huó r to work manual labor<br>哪儿 哪兒 nǎ r where? wherever anywhere<br>儿童 兒童 ér tóng child<br>玩意儿 玩意兒 wán yì r toy plaything thing act trick (in a performance, stage show, acrobatics etc)<br>大伙儿 大伙兒 dà huǒ r everybody everyone we all<br>墨水儿 墨水兒 mò shuǐ r ink<br>使劲儿 使勁兒 shǐ jìn r to exert all one's strength<br>幼儿园 幼兒園 yòu ér yuán kindergarten nursery school<br>纳闷儿 納悶兒 nà mèn r puzzled bewildered<br>纽扣儿 紐扣兒 niǔ kòu r button<br>婴儿 嬰兒 yīng ér infant baby lead (Pb)<br>馅儿 餡兒 xiàn r stuffing forcemeat filling<br>"
211,几,192355,56.89069981,ji1/ji3,"small table, almost, a few/how many, how much/how many/several/a few",57,19,1,Pleasant,幾,Variant_WK_L31,几 幾 jǐ how much how many several a few<br>几乎 幾乎 jī hū almost nearly practically<br>
153,见,269080,50.19407142,jian4/xian4,"to see/to meet/to appear (to be sth)/to interview, appear",58,20,1,Pleasant,見,Variant_WK_L4,"可见 可見 kě jiàn it can clearly be seen (that this is the case) it is (thus) clear clear visible<br>看见 看見 kàn jiàn to see to catch sight of<br>意见 意見 yì jiàn idea opinion suggestion objection complaint<br>不见得 不見得 bù jiàn de not necessarily not likely<br>见面 見面 jiàn miàn to meet to see each other<br>见解 見解 jiàn jiě opinion view understanding<br>再见 再見 zài jiàn goodbye see you again later<br>见多识广 見多識廣 jiàn duō shí guǎng experienced and knowledgeable (idiom)<br>见闻 見聞 jiàn wén what one sees and hears knowledge information<br>喜闻乐见 喜聞樂見 xǐ wén lè jiàn a delight to see (idiom); an attractive spectacle<br>见义勇为 見義勇為 jiàn yì yǒng wéi to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth acting heroically in a just cause<br>偏见 偏見 piān jiàn prejudice<br>罕见 罕見 hǎn jiàn rare rarely seen<br>各抒己见 各抒己見 gè shū jǐ jiàn everyone gives their own view<br>"
1,的,7922684,4.094325318,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear",70,21,1,Pleasant,,WK_L14,的 de of ~'s (possessive particle) (used after an attribute) (used to form a nominal expression) (used at the end of a declarative sentence for emphasis)<br>目的 mù dì purpose aim goal target objective<br>似的 shì de seems as if rather like<br>的确 的確 dí què really indeed<br>
204,真,198416,56.18955106,zhen1,real/true/genuine,75,22,1,Pleasant,眞,WK_L16,真 zhēn really truly indeed real true genuine<br>真相 zhēn xiàng the truth about sth the actual facts<br>真正 zhēn zhèng genuine real true genuinely<br>真理 zhēn lǐ truth<br>天真 tiān zhēn naive innocent artless<br>真实 真實 zhēn shí true real<br>认真 認真 rèn zhēn conscientious earnest serious to take seriously to take to heart<br>传真 傳真 chuán zhēn fax facsimile<br>清真 qīng zhēn Islamic Muslim halal (of food) clean pure<br>真挚 真摯 zhēn zhì sincere sincerity<br>
118,工,317532,44.95045472,gong1,work/worker/skill/profession/trade/craft/labor,76,23,1,Pleasant,,WK_L1,"员工 員工 yuán gōng staff personnel employee<br>手工 shǒu gōng handwork manual<br>打工 dǎ gōng to work a temporary or casual job (of students) to have a job outside of class time, or during vacation<br>加工 jiā gōng to process processing working (of machinery)<br>工作 gōng zuò to work (of a machine) to operate job work task<br>工人 gōng rén worker<br>人工 rén gōng artificial manpower manual work<br>工业 工業 gōng yè industry<br>工具 gōng jù tool instrument utensil means (to achieve a goal etc)<br>工资 工資 gōng zī wages pay<br>工程师 工程師 gōng chéng shī engineer<br>工厂 工廠 gōng chǎng factory<br>工艺品 工藝品 gōng yì pǐn handicraft article handiwork<br>罢工 罷工 bà gōng a strike to go on strike<br>"
8,有,1782004,12.20363445,you3,to have/there is/there are/to exist/to be,79,24,1,Pleasant,,WK_L6,有 yǒu to have there is there are to exist to be<br>有名 yǒu míng famous well-known<br>没有 沒有 méi yǒu haven't hasn't doesn't exist to not have to not be<br>只有…才… 只有…纔… zhǐ yǒu … cái … only if … (can) … … is a prerequisite for …<br>有利 yǒu lì advantageous to have advantages favorable<br>所有 suǒ yǒu all to have to possess to own<br>固有 gù yǒu intrinsic to sth inherent native<br>有趣 yǒu qù interesting fascinating amusing<br>拥有 擁有 yōng yǒu to have to possess<br>津津有味 jīn jīn yǒu wèi with keen interest pleasure (idiom); with gusto to relish eagerly with great interest<br>岂有此理 豈有此理 qǐ yǒu cǐ lǐ how can this be so? (idiom); preposterous ridiculous absurd<br>有条不紊 有條不紊 yǒu tiáo bù wěn regular and thorough (idiom); methodically arranged<br>
30,可,723108,24.03732929,ke3,can/may/able to/certain(ly)/to suit/(particle used for emphasis),92,25,1,Pleasant,,WK_L18,可见 可見 kě jiàn it can clearly be seen (that this is the case) it is (thus) clear clear visible<br>可口 kě kǒu tasty to taste good<br>可是 kě shì but however (used for emphasis) indeed<br>可行 kě xíng feasible<br>可以 kě yǐ can may possible able to not bad pretty good<br>认可 認可 rèn kě to approve approval acknowledgment OK<br>可能 kě néng might (happen) possible probable possibility probability maybe perhaps<br>可观 可觀 kě guān considerable impressive significant<br>许可 許可 xǔ kě to allow to permit<br>可爱 可愛 kě ài adorable cute lovely<br>不可思议 不可思議 bù kě sī yì inconceivable (idiom); unimaginable unfathomable<br>可怕 kě pà awful dreadful fearful formidable frightful scary hideous horrible terrible terribly<br>可靠 kě kào reliable<br>可恶 可惡 kě wù repulsive vile hateful abominable<br>难能可贵 難能可貴 nán néng kě guì rare and precious valuable remarkable<br>宁可 寧可 nìng kě preferably one would prefer to...(or not to...) would rather (would) be better to (to pick) the lesser of two evils<br>可惜 kě xī it is a pity what a pity unfortunately<br>可怜 可憐 kě lián pitiful pathetic to have pity on<br>
37,子,640640,26.4953475,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)",97,26,1,Pleasant,只,WK_L2,"儿子 兒子 ér zi son<br>日子 rì zi day a (calendar) date days of one's life<br>个子 個子 gè zi height stature build size<br>样子 樣子 yàng zi appearance manner pattern model<br>被子 bèi zi quilt<br>种子 種子 zhǒng zi seed<br>面子 miàn zi outer surface outside honor reputation face (as in ""losing face"") self-respect feelings (medicinal) powder<br>王子 wáng zǐ prince son of a king<br>包子 bāo zi steamed stuffed bun<br>管子 guǎn zi tube pipe drinking straw<br>影子 yǐng zi shadow reflection<br>句子 jù zi sentence<br>子弹 子彈 zǐ dàn bullet<br>孩子 hái zi child<br>叶子 葉子 yè zi foliage leaf<br>孙子 孫子 sūn zi grandson son's son<br>屋子 wū zi house room<br>君子 jūn zǐ nobleman person of noble character<br>桌子 zhuō zi table desk<br>盘子 盤子 pán zi tray plate dish<br>曲子 qǔ zi poem for singing tune music<br>小伙子 xiǎo huǒ zi young man young guy lad youngster<br>妻子 qī zi wife<br>鼻子 bí zi nose<br>镜子 鏡子 jìng zi mirror<br>尺子 chǐ zi rule ruler (measuring instrument)<br>杯子 bēi zi cup glass<br>一辈子 一輩子 yī bèi zi (for) a lifetime<br>帽子 mào zi hat cap (fig.) label bad name<br>肚子 dù zi belly abdomen stomach<br>竹子 zhú zi bamboo<br>椅子 yǐ zi chair<br>夹子 夾子 jiā zi clip clamp tongs folder wallet<br>瓶子 píng zi bottle<br>扇子 shàn zi fan<br>电子邮件 電子郵件 diàn zǐ yóu jiàn email<br>绳子 繩子 shéng zi cord string rope<br>勺子 sháo zi scoop ladle<br>亭子 tíng zi pavilion<br>裤子 褲子 kù zi trousers pants<br>狮子 獅子 shī zi lion<br>梳子 shū zi comb<br>筷子 kuài zi chopsticks<br>裙子 qún zi skirt<br>兔子 tù zi hare rabbit<br>袜子 襪子 wà zi socks stockings<br>叉子 chā zi fork<br>钩子 鉤子 gōu zi hook<br>侄子 姪子 zhí zi brother's son nephew<br>脖子 bó zi neck<br>饺子 餃子 jiǎo zi dumpling pot-sticker<br>盒子 hé zi case<br>猴子 hóu zi monkey<br>辫子 辮子 biàn zi plait braid pigtail a mistake or shortcoming that may be exploited by an opponent handle<br>嗓子 sǎng zi throat voice<br>鸽子 鴿子 gē zi pigeon dove various birds of the family Columbidae<br>嫂子 sǎo zi (coll.) older brother's wife sister-in-law<br>桔子 jú zi tangerine<br>"
5,了,2128528,9.279052283,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place",101,27,1,Pleasant,,WK_L2,了 le (modal particle intensifying preceding clause) (completed action marker)<br>一目了然 yī mù liǎo rán obvious at a glance (idiom)<br>为了 為了 wèi le in order to for the purpose of so as to<br>大不了 dà bù liǎo at worst if worst comes to worst serious alarming<br>了不起 liǎo bu qǐ amazing terrific extraordinary<br>受不了 shòu bù liǎo unbearable unable to endure can't stand<br>不得了 bù dé liǎo desperately serious disastrous extremely exceedingly<br>了解 liǎo jiě to understand to realize to find out<br>除了 chú le besides apart from (... also...) in addition to except (for)<br>
224,女,185188,58.16340361,nu:3/nv3,female/woman,102,28,1,Pleasant,,WK_L1,女儿 女兒 nǚ ér daughter<br>女 nǚ female woman daughter<br>女士 nǚ shì lady madam Miss Ms<br>妇女 婦女 fù nǚ woman<br>
82,好,411866,38.17126371,hao3/hao4,"good/well, be fond of",103,29,1,Pleasant,,WK_L11,好 hǎo good well proper good to easy to very so (suffix indicating completion or readiness) (of an unmarried couple) to be close to be keen on each other<br>只好 zhǐ hǎo without any better option to have to to be forced to<br>好处 好處 hǎo chu benefit advantage gain profit<br>正好 zhèng hǎo just (in time) just right just enough to happen to to chance to by chance it just so happens that<br>最好 zuì hǎo best (you) had better (do what we suggest)<br>好吃 hǎo chī tasty delicious<br>爱好 愛好 ài hào to like to take pleasure in keen on fond of interest hobby appetite for<br>好像 hǎo xiàng as if to seem like<br>好奇 hào qí inquisitive curious inquisitiveness curiosity<br>好客 hào kè hospitality to treat guests well to enjoy having guests hospitable friendly<br>友好 yǒu hǎo friendly amicable close friend<br>讨好 討好 tǎo hǎo to get the desired outcome to win favor by fawning on sb to curry favor with a fruitful outcome to reward one's labor<br>良好 liáng hǎo good favorable well fine<br>恰到好处 恰到好處 qià dào hǎo chù it's just perfect it's just right<br>
67,如,449036,34.87840289,ru2,as (if)/such as,104,30,1,Pleasant,,WK_L47,比如 bǐ rú for example for instance such as<br>如果 rú guǒ if in case in the event that<br>如何 rú hé how what way what<br>不如 bù rú not equal to not as good as inferior to it would be better to<br>称心如意 稱心如意 chèn xīn rú yì after one's heart (idiom); gratifying and satisfactory everything one could wish<br>如今 rú jīn nowadays now<br>例如 lì rú for example for instance such as<br>一如既往 yī rú jì wǎng just as in the past (idiom); as before continuing as always<br>假如 jiǎ rú if<br>犹如 猶如 yóu rú similar to appearing to be<br>譬如 pì rú for example for instance such as<br>
83,小,410987,38.38365568,xiao3,small/tiny/few/young,109,31,1,Pleasant,,WK_L2,小 xiǎo small tiny few young<br>小时 小時 xiǎo shí hour<br>小说 小說 xiǎo shuō novel fiction<br>小心 xiǎo xīn to be careful to take care<br>小气 小氣 xiǎo qì stingy petty miserly narrow-minded<br>小吃 xiǎo chī snack refreshments<br>小姐 xiǎo jie young lady miss (slang) prostitute<br>小麦 小麥 xiǎo mài wheat<br>小伙子 xiǎo huǒ zi young man young guy lad youngster<br>胆小鬼 膽小鬼 dǎn xiǎo guǐ coward<br>小心翼翼 xiǎo xīn yì yì cautious and solemn (idiom); very carefully prudent gently and cautiously<br>渺小 miǎo xiǎo minute tiny negligible insignificant<br>
233,少,183018,59.01957602,shao3/shao4,"few/little/lack, young",110,32,1,Pleasant,,WK_L3,多少 duō shao how much how many which (number) as much as<br>少 shǎo few less to lack to be missing to stop (doing sth) seldom<br>至少 zhì shǎo at least (to say the) least<br>青少年 qīng shào nián adolescent youth teenager<br>减少 減少 jiǎn shǎo to lessen to decrease to reduce to lower<br>缺少 quē shǎo lack shortage of shortfall to be short (of) to lack<br>
17,大,1054064,18.15438065,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor",113,33,1,Pleasant,,WK_L1,大 dà big huge large major great wide deep older (than) oldest eldest greatly very much (dialect) father father's elder or younger brother<br>大家 dà jiā everyone influential family great expert<br>大方 dà fang generous magnanimous stylish in good taste easy-mannered natural and relaxed<br>大意 dà yì general idea main idea<br>大不了 dà bù liǎo at worst if worst comes to worst serious alarming<br>大体 大體 dà tǐ in general more or less in rough terms basically on the whole<br>重大 zhòng dà great important major significant<br>广大 廣大 guǎng dà (of an area) vast or extensive large-scale widespread (of people) numerous<br>放大 fàng dà to enlarge to magnify<br>大夫 dài fu doctor physician<br>大约 大約 dà yuē approximately probably<br>大象 dà xiàng elephant<br>大型 dà xíng large large-scale<br>大致 dà zhì more or less roughly approximately<br>大概 dà gài roughly probably rough approximate about general idea<br>博大精深 bó dà jīng shēn wide-ranging and profound broad and deep<br>巨大 jù dà huge immense very large tremendous gigantic enormous<br>大臣 dà chén chancellor (of a monarchy) cabinet minister<br>大使馆 大使館 dà shǐ guǎn embassy<br>伟大 偉大 wěi dà huge great grand worthy of the greatest admiration important (contribution etc)<br>大伙儿 大伙兒 dà huǒ r everybody everyone we all<br>扩大 擴大 kuò dà to expand to enlarge to broaden one's scope<br>庞大 龐大 páng dà huge enormous tremendous<br>大厦 大廈 dà shà large building edifice mansion<br>恍然大悟 huǎng rán dà wù to suddenly realize to suddenly see the light<br>大肆 dà sì wantonly without restraint (of enemy or malefactor) unbridled<br>
61,多,481689,33.42329615,duo1,many/much/a lot of/numerous/multi-,116,34,1,Pleasant,夛,WK_L5,"多 duō many much often a lot of numerous more in excess how (to what extent) multi- Taiwan pr. [duo2] when it means ""how""<br>多少 duō shao how much how many which (number) as much as<br>多么 多麼 duō me how (wonderful etc) what (a great idea etc) however (difficult it may be etc) (in interrogative sentences) how (much etc) to what extent<br>多元化 duō yuán huà diversification pluralism to diversify<br>许多 許多 xǔ duō many a lot of much<br>见多识广 見多識廣 jiàn duō shí guǎng experienced and knowledgeable (idiom)<br>差不多 chà bu duō almost nearly more or less about the same good enough not bad<br>多余 多餘 duō yú superfluous unnecessary surplus<br>多亏 多虧 duō kuī thanks to luckily<br>"
131,外,295645,46.99672955,wai4,outside/in addition/foreign/external,118,35,1,Pleasant,舀,WK_L3,外 wài outside in addition foreign external<br>外向 wài xiàng extroverted (personality) (economics etc) export-oriented<br>此外 cǐ wài besides in addition moreover furthermore<br>外公 wài gōng (coll.) mother's father maternal grandfather<br>外行 wài háng layman amateur<br>意外 yì wài unexpected accident mishap<br>外表 wài biǎo external outside outward appearance<br>外界 wài jiè the outside world external<br>格外 gé wài especially particularly<br>另外 lìng wài additional in addition besides separate other moreover furthermore<br>外交 wài jiāo diplomacy diplomatic foreign affairs<br>例外 lì wài exception to be an exception<br>额外 額外 é wài extra added additional<br>
